ENSG	CDS	5utr	3utr	5utr|3utr	intron	intergenic	noncoding_exon	noncoding_intron
ENSG00000166224.12	21	1	9	0	64	0	0	0
ENSG00000102897.5	1	4	3	0	41	0	0	0
ENSG00000092850.7	2	0	0	0	0	0	0	0
ENSG00000010295.15	49	2	2	0	31	0	0	0
ENSG00000253766.1	0	0	0	0	0	0	0	9
ENSG00000233324.1	0	0	0	0	0	0	1	0
ENSG00000260630.2	0	0	0	0	0	0	14	39
ENSG00000234268.1	0	0	0	0	0	0	2	0
ENSG00000147533.12	7	3	10	0	20	0	0	0
ENSG00000254681.2	0	0	0	0	0	0	7	5
ENSG00000106246.13	33	7	5	0	61	0	0	0
ENSG00000226306.6	0	0	0	0	0	0	1	0
ENSG00000228477.1	0	0	0	0	0	0	1	0
ENSG00000203711.7	0	0	0	0	5	0	0	0
ENSG00000168175.10	20	1	31	0	103	0	0	0
ENSG00000206633.1	0	0	0	0	0	0	264	0
ENSG00000117868.11	49	0	19	0	218	0	1	0
ENSG00000177173.5	0	0	0	0	0	0	33	0
ENSG00000229917.2	0	0	0	0	0	0	4	0
ENSG00000174332.3	2	0	1	0	127	0	0	0
ENSG00000042832.7	2	0	0	0	32	0	0	0
ENSG00000159733.9	6	12	8	0	137	0	0	0
ENSG00000125409.8	2	0	0	0	4	0	0	0
ENSG00000117425.9	10	0	375	0	12	0	0	0
ENSG00000034063.9	0	0	0	0	0	0	87	111
ENSG00000234580.1	0	0	0	0	0	0	0	1
ENSG00000140575.8	146	2	20	0	100	0	0	0
ENSG00000254673.1	11	0	0	0	98	0	0	0
ENSG00000215372.5	0	0	0	0	1	0	0	0
ENSG00000272927.1	0	0	0	0	0	0	1	0
ENSG00000250948.1	0	0	0	0	0	0	0	3
ENSG00000263818.1	0	0	0	0	0	0	3	52
ENSG00000106992.13	8	2	2	0	4	0	0	0
ENSG00000167074.10	5	0	8	0	16	0	0	0
ENSG00000143479.11	10	0	0	0	4	0	0	12
ENSG00000261014.1	0	0	0	0	0	0	0	3
ENSG00000169583.12	1	0	0	0	0	0	0	0
ENSG00000119514.5	10	0	4	0	34	0	0	0
ENSG00000108510.5	267	0	37	0	575	0	0	0
ENSG00000232527.3	0	0	0	0	0	0	5	129
ENSG00000248652.2	0	0	0	0	0	0	1	0
ENSG00000236627.1	0	0	0	0	0	0	0	1
ENSG00000206052.6	0	0	1	0	272	0	0	0
ENSG00000260378.1	0	0	0	0	0	0	0	1
ENSG00000234602.3	2	0	0	0	4	0	0	0
ENSG00000260326.1	0	0	0	0	0	0	1	0
ENSG00000262518.1	0	0	0	0	0	0	1	0
ENSG00000261118.1	0	0	0	0	0	0	0	5
ENSG00000085832.12	75	1	18	0	255	0	0	0
ENSG00000249199.1	0	0	0	0	0	0	0	1
ENSG00000225217.1	0	0	0	0	0	0	1	0
ENSG00000237152.2	0	0	0	0	0	0	2	31
ENSG00000269711.1	3	0	6	0	3	0	0	0
ENSG00000251569.1	6	0	0	0	33	0	0	0
ENSG00000100519.7	27	0	0	0	29	0	0	0
ENSG00000121690.5	8	0	0	0	12	0	0	0
ENSG00000080371.4	7	4	26	0	54	0	0	0
ENSG00000185860.9	0	0	0	0	1	0	0	2
ENSG00000211788.2	0	0	0	0	0	0	1	0
ENSG00000270937.1	0	0	0	0	0	0	1	0
ENSG00000117010.11	7	1	3	0	13	0	0	0
ENSG00000230912.1	0	0	0	0	0	0	0	1
ENSG00000182158.10	45	2	58	0	245	0	0	0
ENSG00000151320.6	14	2	1	0	173	0	0	0
ENSG00000234667.1	0	0	0	0	0	0	2	0
