ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000237851.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000225193.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.28238	NaN|0.00000
ENSG00000254681.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000228477.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.48333	NaN|0.00000
ENSG00000272370.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000159733.9	1.2222|0.99251	NaN|0.48333	1.6510|1.24163	NaN|0.00000	0.7828|4.08395	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000220785.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000125409.8	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000034063.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.0708|5.40080	0.2578|0.53847
ENSG00000101446.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000140575.8	0.9470|6.61420	NaN|0.00000	-1.9928|0.00000	NaN|0.00000	-0.1430|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254673.1	1.2725|1.90668	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.0490|0.03520	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000106992.13	1.4286|1.38167	NaN|0.00000	NaN|0.48333	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000167074.10	NaN|0.00000	NaN|0.00000	NaN|0.63216	NaN|0.00000	-0.3490|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000143479.11	NaN|1.38364	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.5554|0.00000
ENSG00000261014.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000223861.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000119514.5	1.7441|2.72730	NaN|0.00000	NaN|0.48333	NaN|0.00000	-0.0860|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254209.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000108510.5	1.6021|43.79580	NaN|0.00000	0.5921|0.78418	NaN|0.00000	-0.1749|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000234602.3	NaN|0.28238	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000206052.6	2.4446|2.38716	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.6896|47.10220	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000260326.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000085832.12	1.9140|14.31184	NaN|0.00000	-1.1563|0.00000	NaN|0.00000	0.5908|4.28347	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000261118.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000249199.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000237152.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.48333	0.8221|1.52271
ENSG00000251569.1	2.4446|2.38716	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.9457|1.18929	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000269711.1	NaN|0.00000	NaN|0.00000	4.6510|5.98355	NaN|0.00000	NaN|0.28238	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000236758.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000121690.5	2.3291|3.15513	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.6510|0.32772	NaN|0.00000	NaN|0.00000	NaN|0.00000
